Character;Portrayed by
Michael Scott;Steve Carell
Dwight Schrute;Rainn Wilson
Jim Halpert;John Krasinski
Pam Beesly;Jenna Fischer
Ryan Howard;B. J. Novak
Andy Bernard;Ed Helms
Robert California;James Spader
Stanley Hudson;Leslie David Baker
Kevin Malone;Brian Baumgartner
Meredith Palmer;Kate Flannery
Angela Martin;Angela Kinsey
Oscar Martinez;Oscar Nunez
Phyllis Lappin;Phyllis Smith
Phyllis Vance;Phyllis Smith
Roy Anderson;David Denman
Jan Levinson;Melora Hardin
Toby Flenderson;Paul Lieberstein
Kelly Kapoor;Mindy Kaling
Creed Bratton;Creed Bratton
Darryl Philbin;Craig Robinson
Erin Hannon;Ellie Kemper
Gabe Lewis;Zach Woods
Holly Flax;Amy Ryan
Nellie Bertram;Catherine Tate
Clark Green;Clark Duke
Pete Miller;Jake Lacy
Devon White;Devon Abner
Lonny Collins;Patrice Oï¿½Neal
Katy Moore;Amy Adams
Todd Packer;David Koechner
Hank Doyle;Hugh Dane
Carol Stills;Nancy Walls
Bob Vance;Bobby Ray Shafer
David Wallace;Andy Buckley
Mose Schrute;Michael Schur
Helene Beesly;Linda Purl
Josh Porter;Charles Esten
Karen Filippelli;Rashida Jones
Nick;Nelson Franklin
Lynn;Lisa K. Wyatt
Charles Miner;Idris Elba
Isabel Poreba;Kelen Coleman
Matt;Sam Daly
Donna;Amy Pietz
Jo Bennet;Kathy Bates
Robert Lipton;Jack Coleman
Nate Nickerson;Mark Proksch
Deangelo Vickers;Will Ferrell
Jordan Garfield;Cody Horn
Val Johnson;Ameenah Kaplan
Cathy Simms;Lindsey Broad
Jessica;Eleanor Seigler
Irene;Georgia Engel
Brian;Chris Diamantopoulos
Ziek Schrute;Matt L. Jones
Esther Breugger;Nora Kirkpatrick
